class, interaction
negative,middle-middle-square_o & top-right-square_o & bottom-left-square_o
negative,top-right-square_o & bottom-right-square_o & middle-right-square_o
negative,bottom-right-square_o & middle-left-square_x & middle-middle-square_o & top-left-square_o
negative,middle-middle-square_o & middle-left-square_o & middle-right-square_o
negative,top-left-square_o & bottom-middle-square_x & top-middle-square_o & top-right-square_o
negative,bottom-left-square_o & bottom-right-square_o & bottom-middle-square_o
positive,middle-middle-square_x & top-right-square_b & bottom-left-square_b
positive,middle-middle-square_x & top-middle-square_x & bottom-middle-square_x
positive,top-middle-square_x & top-right-square_x & top-left-square_x
positive,top-right-square_x & bottom-left-square_x & middle-middle-square_x
positive,middle-middle-square_x & bottom-right-square_x & top-left-square_x
positive,bottom-right-square_x & bottom-left-square_x & bottom-middle-square_x
positive,bottom-left-square_x & top-left-square_x & middle-left-square_x
positive,middle-left-square_x & middle-middle-square_x & middle-right-square_x
positive,middle-right-square_x & top-right-square_x & bottom-right-square_x
